title,releaseDate,genre,language,filmType,runtime,tconst,averageRating,numVotes
#realityhigh,"September 8, 2017",Teen comedy,English,Feature films,99,tt6119504,5.1,7071
(Un)lucky Sisters,"August 30, 2024",Comedy,Spanish,Feature films,83,tt33054529,5.2,825
10 Days of a Bad Man,"August 18, 2023",Drama,Turkish,Feature films,124,tt24852002,6.1,3170
10 Days of a Curious Man,"November 7, 2024",Drama,Turkish,Feature films,110,tt28713370,5.8,1119
10 Days of a Good Man,"March 3, 2023",Drama,Turkish,Feature films,124,tt23334464,6.5,6031
1000 Miles from Christmas,"December 24, 2021",Christmas film,Spanish,Feature films,102,tt13782052,5.9,2190
11M: Terror in Madrid,"February 23, 2022",,Spanish,Documentaries,92,tt6275154,7.0,3200
137 Shots,"December 15, 2021",,English,Documentaries,105,tt16379224,6.5,1240
13: The Musical,"August 12, 2022",Musical,English,Feature films,94,tt3975918,5.2,1132
13th,"October 7, 2016",,English,Documentaries,100,tt5895028,8.2,38359
13th: A Conversation with Oprah Winfrey & Ava DuVernay,"January 26, 2017",Aftershow / Interview,English,Specials,36,tt6491068,7.0,214
14 Peaks: Nothing Is Impossible,"November 29, 2021",,English,Documentaries,101,tt14079374,7.7,31715
15 August,"March 29, 2019",Comedy drama,Marathi,Feature films,124,tt9817300,5.8,322
1922,"October 20, 2017",Horror / Crime drama,English,Feature films,102,tt6214928,6.2,74557
20th Century Girl,"October 21, 2022",Romantic,Korean,Feature films,121,tt15340724,7.4,11872
22 July,"October 10, 2018",Crime drama,English,Feature films,144,tt7280898,6.8,38862
24 Hours with Gaspar,"March 14, 2024",Crime drama,Indonesian,Feature films,98,tt14773940,4.8,504
365 Days: This Day,"April 27, 2022",Erotic thriller,English,Feature films,111,tt12996154,2.7,25981
6 Balloons,"April 6, 2018",Drama,English,Feature films,75,tt6142496,5.9,4562
6 Underground,"December 13, 2019",Action,English,Feature films,128,tt8106534,6.1,203696
7 Prisoners,"November 11, 2021",Drama,Portuguese,Feature films,94,tt14168118,7.1,9678
7 años,"October 28, 2016",Drama,Spanish,Feature films,77,tt5517438,6.7,5424
A 3 Minute Hug,"October 28, 2019",,Spanish,Documentaries,28,tt9098586,6.5,284
A Babysitter's Guide to Monster Hunting,"October 15, 2020",Comedy / Fantasy / Family,English,Feature films,98,tt4844150,5.4,5084
A Beautiful Life,"June 1, 2023",Drama,Danish,Feature films,99,tt15282148,6.4,8727
A California Christmas,"December 14, 2020",Christmas romantic comedy,English,Feature films,107,tt13055780,5.8,11876
A Castle for Christmas,"November 26, 2021",Romantic comedy,English,Feature films,99,tt13070602,5.6,16386
A Christmas Prince,"November 17, 2017",Christmas romantic comedy,English,Feature films,92,tt7608418,5.8,22792
A Christmas Prince: The Royal Baby,"December 5, 2019",Christmas romantic comedy,English,Feature films,85,tt10006006,5.4,8385
A Christmas Prince: The Royal Wedding,"November 30, 2018",Christmas romantic comedy,English,Feature films,93,tt8709036,5.3,12474
A Classic Horror Story,"July 14, 2021",Horror,Italian,Feature films,95,tt12877640,5.7,23069
A Cop Movie,"November 5, 2021",,Spanish,Documentaries,107,tt14035242,7.0,2291
A Cut Above,"July 28, 2022",Comedy,Portuguese,Feature films,91,tt21265550,4.8,205
A Day and a Half,"September 1, 2023",Thriller,Swedish,Feature films,95,tt20414642,5.8,3368
A Deadly Invitation,"October 6, 2023",Drama,Spanish,Feature films,93,tt13022120,5.1,2247
A Fall from Grace,"January 17, 2020",Thriller,English,Feature films,120,tt11390036,5.9,17844
A Family Affair,"June 28, 2024",Romantic comedy,English,Feature films,113,tt21051906,5.3,35449
A Futile and Stupid Gesture,"January 26, 2018",Biographical comedy,English,Feature films,101,tt5566790,6.7,18383
A Jazzman's Blues,"September 23, 2022",Drama,English,Feature films,128,tt14307536,6.8,4593
A Journey,"April 12, 2024",Drama,Filipino,Feature films,115,tt31805808,5.6,278
A Life Too Short: The Isabella Nardoni Case,"August 17, 2023",,Portuguese,Documentaries,104,tt28552695,6.1,1740
A Life of Speed: The Juan Manuel Fangio Story,"March 20, 2020",,Spanish,Documentaries,92,tt6668212,7.0,2405
A Love Song for Latasha,"September 21, 2020",Documentary,English,Shorts,19,tt8993180,6.8,2676
A Madea Homecoming,"February 25, 2022",Comedy,English,Feature films,107,tt14813966,5.7,5190
A Man of Action,"November 30, 2022",Biopic,Spanish,Feature films,111,tt12703292,6.4,3619
A Naija Christmas,"December 16, 2021",Romantic comedy,English,Feature films,121,tt15565704,5.0,477
A Night at the Kindergarten,"December 28, 2022",Black comedy,Polish,Feature films,97,tt19724270,5.7,717
A Nonsense Christmas with Sabrina Carpenter,"December 6, 2024",Music/Variety,English,Specials,50,tt33427273,6.4,2799
A Not So Merry Christmas,"December 20, 2022",Comedy,Spanish,Feature films,100,tt23808016,4.7,1123
A Part of You,"May 31, 2024",Coming-of-age drama,Swedish,Feature films,100,tt27411270,5.8,2753
A Perfect Fit,"July 15, 2021",Romantic comedy / drama,Indonesian,Feature films,112,tt13606090,5.4,744
A Perfect Pairing,"May 19, 2022",Romantic comedy,English,Feature films,102,tt15215512,6.1,18097
A Secret Love,"April 29, 2020",,English,Documentaries,82,tt3260524,7.8,5060
A Tale of Two Kitchens,"May 22, 2019",,Spanish,Documentaries,30,tt10243660,6.3,347
A Tourist's Guide to Love,"April 21, 2023",Romantic comedy,English,Feature films,96,tt20115096,5.8,7795
A Trip to Infinity,"September 26, 2022",,English,Documentaries,79,tt21929356,7.0,4391
A True Gentleman,"September 26, 2024",Drama,Turkish,Feature films,110,tt23218054,4.5,1957
A Vampire in the Family,"December 24, 2023",Comedy,Portuguese,Feature films,89,tt23744022,4.7,1457
A Very Murray Christmas,"December 4, 2015",Comedy / Musical,English,Specials,56,tt4537842,5.5,16751
A Week Away,"March 26, 2021",Christian musical,English,Feature films,97,tt11388278,5.8,5664
A Whisker Away,"June 18, 2020",Anime fantasy,Japanese,Feature films,105,tt11958344,6.7,15594
A Whole Lifetime with Jamie Demetriou,"February 28, 2023",Comedy,English,Specials,52,tt26008888,6.1,655
A World Without,"October 14, 2021",Science fiction / teen drama,Indonesian,Feature films,107,tt15484488,4.0,459
AK vs AK,"December 24, 2020",Black comedy thriller,Hindi,Feature films,109,tt11651796,6.9,15513
AKA,"April 28, 2023",Action thriller,French,Feature films,124,tt27197387,6.6,14085
ARQ,"September 16, 2016",Science fiction / Thriller,English,Feature films,88,tt5640450,6.3,42706
Adam by Eve: A Live in Animation,"March 15, 2022",Animation / concert film,Japanese,Specials,58,tt18274178,6.2,596
After Maria,"May 24, 2019",,Spanish,Documentaries,37,tt10136680,4.9,431
After the Raid,"December 19, 2019",,Spanish,Documentaries,25,tt11324024,4.7,150
Afterlife of the Party,"September 2, 2021",Comedy,English,Feature films,109,tt11742798,5.8,11041
Against the Ice,"March 2, 2022",Survival,English,Feature films,103,tt13873302,6.5,29812
Airplane Mode,"January 23, 2020",Comedy,Portuguese,Feature films,96,tt10731748,5.2,3084
Ajeeb Daastaans,"April 16, 2021",Drama,Hindi,Feature films,142,tt14091818,6.7,6582
Alex Strangelove,"June 8, 2018",Romantic comedy,English,Feature films,99,tt5688996,6.3,19991
Ali & Ratu Ratu Queens,"June 17, 2021",Comedy drama,Indonesian,Feature films,100,tt11271990,7.0,1654
Alien Xmas,"November 20, 2020",Stop motion,English,Specials,42,tt11332750,6.2,1728
Alkhallat+,"January 19, 2023",Satirical thriller,Arabic,Feature films,117,tt22497768,6.8,3991
